"title","date","click","text","text_number","topic","year","month","yyyy","mm"
"현재 7살 내년 학교가요","2022-06-20 10:51:00.000","444","현재 저는 아이에게 특별한 공부를 시킨다거나 학원을 보내지는 않습니다
그저 서점에서 받아쓰기책과 수학책 구매해서 하루에 3~4장 정도 풀고있어요
글씨는 다 읽고 쓰는것도 어려운 받침 외에는 다 잘써요 수학도 한자리 덧셈 뺄셈은 다하고 지금은 두자리수 공부하고 있어요
그리고 구구단 3단정도 외우고있어요(요건 아이가 직접 유투브에서 듣고 외웠어요)
요점은 초등학교 들어가면 학교수업과 연계된다해서 웅진이나 밀크티같은걸 많이들 하시더라구요
저도 아이에게 체험분을 경험해보게 했지만 지면으로 하는 공부가 더 좋은것같아요(제생각)
궁금한건 초등학교 들어바면 꼭 웅진등 패드 구매를 해야하는건지 궁금합니다","5679731","초등 밀크티","2022","06","2022","06"
"초등학교5학년","2022-06-17 14:17:00.000","768","학원들 혹시 보내시나요???
안보내시는 분들 없으시겠죠?????","5677403","초등 밀크티","2022","06","2022","06"
"요즘 초등학생들 공부 많이어려울까요?","2022-06-17 09:34:00.000","678","벌써 이번년도도 절반이 지나갔네요. 아이가 내년에 초등학교 들어가는데 수업에 뒤쳐지진않을까 걱정이네요
주변에 초등학교보낸 엄마들보면 애들 선행학습시킨다고 학원이며 뭐며 보내는 엄마들 많은데 전 아이가 아직까지는 좀 놀땐놀면서 했으면 좋겠거든요. 수업만 따라갈수있게.. 저학년때도 애들이 이해하기 힘들게 수준이 좀 어려울까요?","5677044","초등 밀크티","2022","06","2022","06"
"초등 국어.수학 교과연계 학습지","2022-06-13 18:00:00.000","239","아이가 초2인데 지금 학교를 3개월정도 못가서요
2학기부터 가야하는데
선생님오시는 학습지중 교과연계되는 학습지가있으까요?","5673250","초등 밀크티","2022","06","2022","06"
"초등저학년 패드학습지 잘하나요?","2022-06-08 11:17:00.000","197","지금 엘리하이 체험신청한게 와서 체험해보고 있는데
이것도 엄마가 옆에서 봐주지않으면 힘든듯하네요.
설명해줄것도 있고,
게임형식은 게임하듯이 그냥 막 눌러버려서;;
얼마동안은 흥미있게 할지 모르겠는데
길게할수 있을지 감이 안잡히네요
엘리하이 밀크티 등등 하고 계신분들 어떠세요?","5667787","초등 밀크티","2022","06","2022","06"
"패드 교육 하시는 분들 어떤거 하세요??","2022-02-26 12:42:00.000","406","광고는 하지 말아주세요.
그냥 7살 아이 패드 할건데
다들 어떤 걸 많이 하시나요?
장단점도 같이 알려주세요 ㅎㅎ","5550389","초등 밀크티","2022","02","2022","02"
"6세 아이 밀ㅋ티랑 윙ㅋ..투표 좀 해주세요ㅠ","2022-02-24 15:55:00.000","311","제가 무료체험 다 해보고 느낀 바로는
윙ㅋ는 지면 학습지가 있어서 느낀 장점은
패드+종이책공부 같이 겸 가능하다..?
(이게 밀ㅋ티랑 고민할만큼 아주 큰 장점 같아요
영상 매체에만 매달리지 않고 책으로 문제 푸는 힘 기르기)
모르는 부분은 책 사진 찍어 선생님과 풀이 가능하다
학습지 문제 풀이 영상도 있어서
스스로 학습지 책 펴고 영상 따라 혼자 풀기 가능하다
단점은 만화 같은 컨텐츠가 많아서
빨리 풀고 그거 볼려고 하는 감이 있다..?
(학부모가 시간 조절할 수 있다해도 이정도는 불필요해 보여요;)
영유아 포커스에 맞춰진 곳이다
기기가 느리다
------
밀ㅋ티 무료체험 해보고 느낀 장점은
펜으로 글쓰기 연습도 있다
곤충, 갯벌 동물 등 자연학습 컨텐츠를
확대해서 탐구할 수도 있다?
코딩 잘 되어 있다..
공부하며 쌓는 포인트(컵)으로 캐릭터 꾸미거나
편의점에서 간식 사먹기 가능 (동기부여)
1:6 화상수업으로 미술 음악 등 특별활동 가능
초등교과까지 유명한 곳이다
단점은..
종이 책이 분기별로 한번씩 온다..?
하루 수업 과목(1과목) 더 늘릴 수 없다..?
넘넘 고민되서 미치겠어요ㅡㅡ결정 할 수가 없네요
가격은 몇 만원 차이 고만고만한 것 같은데...
투표 좀 해주세요 정말 ㅠㅠ
투표 완료
6세 아이 학습 추천
1
윙ㅋ
20표, 41.7%
2
밀ㅋ티
28표, 58.3%","5547836","초등 밀크티","2022","02","2022","02"
"밀크ㅌ 영사님 혜택이몬가욤?","2022-02-23 17:12:00.000","236","지금 밀크티해보려고 준비중인데
영사님마다 다른거같아서욤","5546484","초등 밀크티","2022","02","2022","02"
"7살 유치원 꼭 보내야 되나요?","2022-02-23 10:55:00.000","1005","올해 7세 되는 아이 지금껏 가정보육 중이예요.
코로나 이번 상반기까진 심할 것 같아서 계속 가정보육 하려고 했는데 주변에서 7세면 보내야 된다고 뭐라 하는거예요ㅠㅠ
교육은 제가 집에서 해주고 있긴해요.한글도 가르쳐서 작년에 읽기독립 됐고 어려운 맞춤법과 띄어쓰기 연습 중이고, 요즘 연산도 조금씩 가르치고 있고요. 누리과정도 빈틈 없게 봐주려고 노력 중이고요.
근데 주변인들 말로는 학교들어가기 전 교우관계나 그 생활에 대한 적응 시간이 필요 하다고요.
저도 그건 동의해서 입학 시켜놨는데 코로나가 16만명 나오고 3월되면 20만명 된다하니깐 적응시간을 위해 위험함을 무릅쓰고 보내야 되는건지...ㅜㅜㅜㅜㅜㅜ
당장 이번주 오티에도 참석을 해야되나 말아야되나 너무 고민돼요ㅠㅠ
7살이면 다들 보내시나요?ㅜㅜ","5545831","초등 밀크티","2022","02","2022","02"
"9살 밀크티, 홈런, 엘리하이","2022-02-23 09:33:00.000","551","어떤게 좋을까요?","5545679","초등 밀크티","2022","02","2022","02"
"7살 학습지 뭐하나요?","2022-02-23 09:33:00.000","284","윙크는 안해요~
다들 어떤거하시나요?
추천해주세요!","5545677","초등 밀크티","2022","02","2022","02"
"윙크. 밀크티 아이 문의드려요.","2022-02-23 09:20:00.000","1942","윙크 무료체험 마지막 날이예요.
아이가 3일 하더니 안한다고~ 하기 싫다고 하더니
그 다음날부터 아침에 일어나자마자 윙크 찾아서 해요.
계속 하고 싶다는데 해도 될지…
전 밀크티 아이도 체험해보고 싶거든요.
밀크티 아이도 윙크처럼 학습지 있나요?
네이버 찾아보니 초등학생은 학습지 있다는데 유아는 준다는 말이 없어서요.","5545655","초등 밀크티","2022","02","2022","02"
"밀크티 윙크?브랜이나우?","2022-02-21 11:41:00.000","214","시켜보신분들 어떤게 괜찮은지 어땠는지 써보신후기 알수 있을까요?? 이제5살된 남자아이인데 한글에 관심갖고 영어에 관심갖어서요~","5542829","초등 밀크티","2022","02","2022","02"
"아이캔두 하는 분들 있으세요?","2022-02-21 11:35:00.000","195","체험으로 받아서 하는데
밀크티랑 비교하니 3D랑 바슬즐 있는 거만 빼면...
문제 대신 읽어주는 것도 너무 빠르고
무엇보다 계념잡는 걸 너무 대충하는 거 같아서요ㅠㅠㅠ
제가 방금 체험중이라
이런건지....","5542815","초등 밀크티","2022","02","2022","02"
"패드 학습 어떤거.많이 하시나요?","2022-02-18 17:34:00.000","411","체험은
밀크티랑 윙크 두개만 했거든요
5세,8세인데 체험 하더니 하고싶다고 해서요","5539678","초등 밀크티","2022","02","2022","02"
"7살아이 스마트패드 교육","2022-02-18 14:58:00.000","259","내년이면 초등학교 갈텐데..
공부는..한글뗀거 외에는 아무것도 안했어요ㅠㅠ
요즘같은 시기에 학원을 보내거나 학습지선생님이 오는건..걱정도 되고 불편해서..
유치원 끝나고 아이랑 같이 보면서 공부를 해볼까하는데..
그러다 관심가는게 밀크티..스마트패드공부 어떨까 싶은데..
해보신분이나 하고계신분..
좋은점 나쁜점 다 얘기해주세요^^
참고하고 결정하려합니다ㅠㅠ
의견 많이 부탁드려요~~^^","5539422","초등 밀크티","2022","02","2022","02"
"초등 인강 잘하나요?","2022-02-18 09:31:00.000","298","엘리hi 알아보고 있어요.
스마트교재도 함께 구입하는게 좋은지 교재는 권당 얼마인지 알수있을까요?
탭은 있는데 가입해서 사용하려니 아깝네요.
무료체험을 하고 가입해야는지 바로 추천가입도 있더라구요. 사용하시는분 계실까요?","5538888","초등 밀크티","2022","02","2022","02"
"7세남자아이 학습지 뭐하세요","2022-02-17 06:07:00.000","313","내년에 초등학교 들어가서 올해부터 학습지를 해야하는데 학원이나 둘중시켜야하는데 어떤걸 해야할지 일단 학습지부터 해볼려하거든요 태권도 도해서요제가 정보가 별로 없어서요 맘들은 어떻게 하세요","5537383","초등 밀크티","2022","02","2022","02"
"홈런,밀크티 중?","2022-02-16 20:41:00.000","545","초등학생, 중학생은 어떤게 더 맞을까요?
고민중입니다....
밀크티는 초딩,홈런은 중딩? 이렇게 연결 짓는다면요....
수준 차이가 나나요???
두개 다 해보신 분들 도움좀 주세요~","5537026","초등 밀크티","2022","02","2022","02"
"아이들 학습지 추천해주세요(광고사절x)","2022-02-16 16:22:00.000","304","아이가 초1 올라가는데요 밀크T 알아봤는데 무료체험 못 하게 하는것같드라구요
학원은 가격두 부담되구요 시국이 시국인지라.. 고민ㅇㅣ라서
아이는 외동인데 학원서 어울림서 보내는게 나을까요?
짐 태권도는 보내고 있는데 ...
영어학원이나 수학 학원 이런곳 가격이 후덜하드라구요
테블릿으로 하는 교육도 나쁘진 않든데 다들 어떠신지요 ...??","5536682","초등 밀크티","2022","02","2022","02"
"밀크티 윙크 어떨까요?","2022-02-16 11:17:00.000","2234","안녕하세요 큰애 초3인데 현제 토론,영어, 피아노,축구,태권도 학원 다니고 있어요. 올해부터 수학학원 알아보는데 요즘같은시기 학원 보내기 불안해서 밀크티 체험하고 있는데 이거로 해야되나 고민되요.코로나 종식되면 오전 학교 오후학원 저녁에 와서 숙제 하다보면 밀크티를 할수 있을지 걱정되서 뾰족한 방법이 없어요 ㅠㅠ
둘째는 6살인데 윙크 밀크티 체험해봤는데 윙크가 더 끌리긴한데 2년동안 꾸준히 할수 있을지 이것도 미정이예요 낼부터 말까지 등원 안시키려면 윙크 도움도 절실하네요 ㅠㅠ 어떡하면 좋을까요?","5536205","초등 밀크티","2022","02","2022","02"
"밀크티아이","2022-02-14 16:22:00.000","144","안녕하세요^^?
밀크티아이 체험해보고 싶은데 영사님 통해서 해야 혜택이 더 있다고 하더라고요~
혹시 추천해주실 영사님 계시나요?
아니면 그냥 영사님통하지 않고 무료체험해도 나중에 정회원가입할때 큰차이 없는건가요?
윙크랑 밀크티아이랑 비교해보고 결정하려고해요~~
윙크나 밀크티아이 하시는 맘님들의 답변 부탁드립니다^^
감사합니다~~","5533763","초등 밀크티","2022","02","2022","02"
"초등학생 전과 많이 사용 하나요?","2022-02-12 21:26:00.000","607","예비 초3인데 전과 살까해서 요즘 전과 마니 사용 하나요?","5531604","초등 밀크티","2022","02","2022","02"
"10살 6살. 둘 다 같이 할 수 있는 패드 학습지 추천 부탁드려요","2022-02-11 22:20:00.000","330","워낙 종류가 많아서 선택장애가 오네요.
두 아이 같은 패드로 사용해도 학습비가 다른가요?
광고글도 많은데 혹시 형제나 자매 같이 학습하는 친구들 맘님 조언구해봅니다. 고맙습니다","5530576","초등 밀크티","2022","02","2022","02"
"7세 홈런 시키시는분 계세요?","2022-02-07 16:01:00.000","482","kt홈스쿨링 이라고 저렴하길래 10일 무료체험중인데요
7세 키즈 컨텐츠가 따로 있지않고...
초1학년 교과서 중심으로 오늘의 학습이 나오는데
아이가 너무 어려워해서요..
이건 진도조정을 따로 못하는가요?
누나가 밀크티하고 있는데....7살때 문제도 다 음성으로 해줘서 잘했는데 홈런은 문제도 그냥 읽어서 풀어야되네요...
kt만 저렴해서 이러는건지 아니면 원래 홈런이 키즈 컨텐츠가 따로 없나요?","5524397","초등 밀크티","2022","02","2022","02"
"6세 학습지","2022-02-06 17:01:00.000","516","여지껏 아무것도 안하다가 집에서 학습지 해볼까하는데 어떤게 괜찮을까요? 대략 가격대라 어떤스타일인지 알고싶어 여쭤보아요..
많은댓글 감사합니다..","5523171","초등 밀크티","2022","02","2022","02"
"천재교육 밀크티초등 하시는 맘 계신가요","2022-02-06 11:28:00.000","306","밀크티 혜택 빵빵한 선생님 아시는 맘님 계신가요?
채팅부탁드려요 7세입니다^^","5522803","초등 밀크티","2022","02","2022","02"
"엄마표 홈스쿨링 하시는분~","2022-03-18 15:22:00.000","230","요즘 확진자수도 엄청나고..
최근 6개월 아기도 접종얘기 나오다보니
잠깐 앞에 나가는것조차 불안했더랬죠 😭
2차접종 마치기 전까진 어찌나 불안했는지..
유아학습지, 홈스쿨링, 집콕놀이, 쥬니버스쿨
아이들 초등학교 보내기전에 나만의 엄마표 홈스쿨링 자료! 조금씩 모으는 중요 ㅎ
혹시 집에서 홈스쿨링하시는 맘분들 어떻게 진행하고 계셔여?
쥬니버스쿨 홈스쿨링..
저희 아이는 지금 51갤이라 ㅎㅎ
슬슬 시작해야 할 나이이긴 한데 한글이며 조금씩 관심 갖는 시기이기도 하고ㅎ
쥬**스쿨 무료워크북 조금씩 모으고있긴 하지만 다양하게 해주고싶은데
마음처럼 쉽지않네요 찾기도 힘들고요😫
집콕놀이 너무 좋아요
쥬니버스쿨로 집에서 콕박혀 집콕놀이하는데 ㅎㅎ 홈스쿨링으로도 좋아요","1581041","초등 밀크티","2022","03","2022","03"
"학교에서 수업중에 많이 보여주는 영상이 아이스크림 홈런인가요?","2022-03-08 11:03:00.000","247","학교에서 영상자료로 여러가지를 보여준다고 하는데 어떤 영상을 많이 보여주는지 아시나요?
밀크티는 거의 없고 아이스크림 홈런을 많이 틀어준다고 하는것 같은데 맞을까요?","1577202","초등 밀크티","2022","03","2022","03"
"초등수학 홈스쿨링 후기","2022-03-04 14:57:00.000","207","초등수학 홈스쿨링으로 공부한 후기
홈스쿨링에 관심 있는 부모님들은 아이스크림 홈런을 들어보셨을 것 같아요.
저는 아이의 초등수학 잡아주기 위한 방법을 찾아보던 중 알게 되었는데요.
비록 홈런으로 학습을 시작한 지 3개월밖에 되지 않았지만,
아이의 학습 습관이 나날이 좋아지고 있어 초등수학 추천을 해드릴 겸
후기를 남겨보려고 합니다.
초등수학 홈스쿨링은 처음이라 아이가 잘 적응할 수 있을까 걱정이었습니다.
그런데 이제는 스스로 공부하며 모르는 내용에 흥미를 가질 정도인데요
다양한 교과 과정과 학습 과정이 있어서 그런지
적응을 하고 나니 온전히 학습에만 집중하게 된 것 같아요.
무리하게 진도를 나가진 않고 초등수학 중심으로
교과 과정을 차근차근 준비하고 있는데요.
유형 히어로즈, 마스 연산, 1% 연산 등등
다양한 문제풀이 과정을 통해 초등수학 기초를 잡아가고 있습니다.
AI 플랫폼을 통해 아이의 수준에 맞춘 초등수학 학습이 진행된다 하여 기대가 되었는데,
아이의 학습 성취도, 학습 습관, 적성, 성격 등 다양한 영역을 파악하여
아이 맞춤 학습 설계가 이루어지고 있어서 굉장히 만족스러워요.
우리 아이 학습 패턴을 분석하여 학습 스케줄링을 설계해서 그런지
아이가 스스로 초등수학 공부하는 습관을 갖게 되더라고요.
부모의 입장에서 느낀 아이스크림 홈런의 장점
1. 과목별 학습 콘텐츠가 다양하여 과목 특성에 최적화된 학습 가능
2. 우리 아이 맞춤 학습 설계가 이루어짐
3. 교과 밖으로 확장되는 주제로 창의력을 키우는 특별학습
4. 교과 내용을 입체적인 콘텐츠로 생생하게 학습할 수 있는 디지털 체험
5. 예비 초등부터 예비 중등까지 탄탄한 학습 과정
아이의 초등수학 잡아주면서 느낀 아이스크림 홈런의 장점입니다.
항상 학습을 시작하기 전에 ‘오늘의 학습’을 통해 오늘 학습 분량을 확인하는데
아이의 흥미를 이끌어내는 콘텐츠와 아이 수준에 맞춘 실력 향상 과정이
함께 제공되기 때문에 아이의 올바른 학습 습관을 잡아줄 수 있다는 점도
개인적으로 상당히 만족하는 부분이에요.
그리고 초등수학이라고 하여 교과 학습만 있는 게 아니라
유형히어로즈, 홈런연산 테마파크, 영역별 수학, 수학 경시 등등
아이가 원하는 부분을 자유롭게 학습할 수 있는
특별 학습 과정도 마련되어 있어서 아이 스스로 공부하게
만들 수 있다는 점도 장점이라고 생각합니다.
앞으로도 이러한 학습 방식을 잘 활용하여
꾸준한 학습만 이루어진다면 중등 과정까지도
무리 없이 해낼 수 있을 거란 생각이 들어요.
저와 우리 아이의 초등수학 홈스쿨링 후기는 여기서 마무리되는데요.
아이스크림 홈런으로 학습하는 사진도 함께 올려둘 테니
홈스쿨링에 관심 있는 분들은 제 후기와 함께 확인해 보시기 바랍니다!
[원고료를 지원받아 작성된 글입니다]","1575997","초등 밀크티","2022","03","2022","03"
"초등 고학년 사회 과학 학습지?","2022-06-30 09:23:00.000","262","초4, 초6 남아가 있는데요 지금까지 사회랑 과학은 학습지를 시켜야한다는 생각을 안하고 있었네요...
국어 수학 영어만 시켰는데 지금부터라도 시키는데 좋을까요? 안그래도 3과목만 시켜도 죽어라 하기 싫어하는데...
방학때부터 사회랑 과학을 추가해볼까 하는데
하는게 맞는거겠죠?
큰애는 좀 늦은거 같기도 하고
요즘 초6 아이들은 또 뭐 공부시켜야하는게 있을까요?
내년에 중학생인데 지금까지 넘 무심했나봐요 ㅜㅜ","4361711","초등 밀크티","2022","06","2022","06"
"영어학원 안다니는 애들있나요?","2022-06-29 12:42:00.000","719","초6아들이 집에서 하다가 올해처음으로 학원을갔는데 제가 강제로 보낸거죠
근데 너무 힘들어해요 낼 전체앞에서 말하는 테스트가 있는데 부담이 너무 큰거같더라구요 저는 모른척하고는 있구요
친구들 다가니 불안해서 가긴하는데 버거워한다고 마냥 놀릴수도 없구요
그냥 놀고싶은거 같아요 놀때죠
이해는 하는데... 아 답답해요","4361138","초등 밀크티","2022","06","2022","06"
"밀크T","2022-06-24 18:45:00.000","260","학습지 하다가 밀크T로 바꿔보려고 하는데
8세,6세 있어요
한명신청하면 같이 할수있다던데
맞나요??","4358326","초등 밀크티","2022","06","2022","06"
"와 초등도 학원비가 이리 비싼가요","2022-06-21 18:13:00.000","2730","동네마다 다르겠지만 물가가오르니 학원비도 오르네요
보통 초1 공부방이나 통합학원 얼마나하나요?ㅜㅜ","4356106","초등 밀크티","2022","06","2022","06"
"아이 한글이 걱정됩니다","2022-06-15 22:42:00.000","722","안녕하세요
곧 입학을 앞둔 7세 남아를 키우는 초보맘입니다!
아이가 씽크빅도 2-3년째하고 현재도 학습 중인데 기본적인 한글도 한 글자도 못 읽는 상황이라 걱정이됩니다ㅜㅜ
7세면 아직 못읽을 수 있다고 생각했는데 이번 유치원 참관식에 갔더니 주변 아이들은 다 잘읽는걸 보고 충격받았습니다ㅠㅠ 저희아이만 못 읽어서 가만히 있더라고요ㅠ
7세면 아직 못 읽을수 있다는 답변말고
한글을 빨리 익힐수 있을만한 방법이 있으면 공유 부탁드립니다ㅠㅠ 학습지는 지금도 하고 있어요ㅠ","4352215","초등 밀크티","2022","06","2022","06"
"요즘도 집으로 배송되는 학습지 이사요?","2022-06-15 18:50:00.000","588","집으로 매달이나매주배송되는학습지 있나요?
집에서 좀 봐주고싶은데 추천해주세요!!","4352059","초등 밀크티","2022","06","2022","06"
"밀크티 하시는 분 알려주세요","2022-06-15 10:10:00.000","196","한명만 등록했는데 한 패드로 아이 둘을 할 수가 있나요?
오늘의학습 넣는것도 담당쌤 재량이라고어디선가 봐서요 가능한건지 궁금해서요 하시는분들 알려주세요~~","4351662","초등 밀크티","2022","06","2022","06"
"5세 밀크T아이 몇년 약정하나요?","2022-01-28 00:29:00.000","1284","지금 무료체험 하고있는데
아이가 좋아해서 신청해줄려구요
1년 할지..2년을 할지 ㅠㅠ 고민이네요
2년 했다가 질려할까봐요ㅠ
추천인 해주실 분 계실까요?","6908453","초등 밀크티","2022","01","2022","01"
"초등1학년","2022-06-10 15:43:00.000","211","서술쪽이 약한데
집에서 풀수 있는 엄마표 학습지 추천부탁드립니다^^
만점왕국어수학
지금 하고 있는데 서술을 너무 어려워해서요~~^^","4348871","초등 밀크티","2022","06","2022","06"
"광고사절이요.초등 영어학습지 추천이요","2022-06-10 08:39:00.000","317","엄마표 한계가 왔네요. 경험해 보신것 중 추천해 주실수 있는 학습지 영어 있을까요?ㅠ ..죄송하지만 광고성 챗은 보내지 말아주세요.","4348445","초등 밀크티","2022","06","2022","06"
"초등학습 영어학습지랑 화상영어 어떨까요?","2022-06-10 01:04:00.000","275","아이가 초4인데
지금현재 영어학원다니고 있는데
학원 진도 잘 못따라가고..학원에 흥미도 없는거 같아서 차라리 집에서 영어학습지랑 화상영어 시켜볼까 하는데 괜찮을까요?ㅠㅠ 연필영* 튼튼 영* 등등 아이들 화상영어 종류도 천차만별이더라구요ㄷㄷ
아무튼 여러군데 커리큘럼 알아보고 선택해서 아이 화상영어로 영어스피킹 잡고... 학습지로 기초 문법이랑 쓰기 잡는거...어떨까요? 제가 너무 힘들까요?
집에서 일일히 다 챙겨줘야 할거 같기도해서 걱정이 앞서네용 ㅠ","4348396","초등 밀크티","2022","06","2022","06"
"요즘 패드 학습(?) 뭐뭐 있나요 ..??","2022-01-24 20:01:00.000","515","까톡 배너 광고로 홈런 체험하기했는데..
한번 빡 2~30분 집중하고 바로 ㅌㅌ 하더라구요.
상담 받아보니 홈런은 영어가 좋다 어떻다 그러는데..
아이한테 맞는거 해주는게 좋을거 같기도하고..
올해에 5살(42갤)이고 언치 받고있어요.. (31~36갤수준 언어구사)
알파벳은 혼자 읽고 쓰기 가능한데 한글은.. 아직ㅋㅋㅋㅋ
패드 조작은 수준급으로 하는거 같아요 ㅋㅋ..
제가 아는게 이번 체험 받아본 홈런이랑 티비 광고 많이 나오는 밀크티아이 요정도인데.. 혹시 뭐뭐 더 있을까요 ?
---광고 사양할게요.. 늦은 밤 채팅 그만주세요 ..
비매너예요 ㅠ","6904932","초등 밀크티","2022","01","2022","01"
"초등아이 패드로하는 학습지요~~","2022-01-23 23:11:00.000","410","올해 4학년6학년인데 패드학습지 시작해보려구요~~
밀크티는 큰아이2~3학년인가 그때 했었는데 초반만 빤짝하고 안했거든요..다시 시켜보려는데..아이는 홈런얘기하더라구요..
종류가 너무많아져서 체험좀 해보고싶은데 무슨 혜택이 있을까요? 해보신분들 학습지 추천해주세요~~^^","6904030","초등 밀크티","2022","01","2022","01"
"초등3 패드학습지 추천이요","2022-01-22 21:51:00.000","320","예비초3학년 패드학습지 신청하려는데
엘리하이 밀크티많이 추천해주셔서요...
엘리하이도 추천아이디있음 상품권 이벤트는 없죠?
엘리하이는 무료체험 신청해서 오늘 보고있어요
밀크티도 궁금한데 10만원 이벤트 체험없이 결재하는거 맞죠?
추천아이디 등록해서 서로 윈윈도 좋아요~~~","6903115","초등 밀크티","2022","01","2022","01"
"5-6세 학습기 밀크티vs스마트올vs 윙크 추천부탁드려요","2022-01-22 10:12:00.000","1015","학습기 알아보고있는데...차이점이 뭔지? 가격얼마인지 아무것도 모르겠네요
해보신분 어떠세요?한글수학영어 늘긴하나요?","6902579","초등 밀크티","2022","01","2022","01"
